RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,13993871,Customer,796,France,Male,39,3,149644.72,2,1,1,139815.98,0
2,15577910,Customer,829,Spain,Male,19,5,0.0,2,0,0,100518.36,0
3,10142474,Customer,571,Germany,Male,21,1,0.0,4,1,0,56993.62,1
4,19095165,Customer,549,Germany,Female,62,1,135241.44,2,0,1,83031.11,0
5,17182257,Customer,637,France,Male,30,2,60048.33,1,0,1,12565.41,1
6,12044595,Customer,711,France,Female,72,9,150704.3,1,1,1,39479.06,0
7,19224266,Customer,607,France,Male,49,6,0.0,1,0,1,159341.71,1
8,11538779,Customer,359,Spain,Female,39,2,161695.37,2,0,0,187017.71,0
9,18666173,Customer,520,Germany,Female,42,2,75186.59,1,0,0,79373.08,1
10,15138401,Customer,724,Germany,Female,44,3,178932.09,2,0,0,186216.36,0
11,10503464,Customer,776,France,Female,72,9,154725.7,1,0,0,130739.45,0
12,11549066,Customer,450,Spain,Female,34,5,0.0,1,0,1,63288.29,0
13,12034809,Customer,459,Spain,Female,23,0,24168.11,1,1,0,123953.28,0
14,12643278,Customer,596,France,Male,60,5,156742.04,2,1,1,163541.93,0
15,11107667,Customer,672,France,Male,68,7,214819.74,2,1,0,159310.91,1
16,15786511,Customer,593,France,Male,33,7,42768.6,1,1,1,178169.35,0
17,14334364,Customer,372,France,Male,25,5,21179.87,1,0,0,159564.96,0
18,19022164,Customer,703,Germany,Male,50,5,0.0,1,1,1,142153.02,0
19,15134655,Customer,815,France,Male,27,2,0.0,2,0,0,82903.24,0
20,13984782,Customer,574,France,Male,51,1,0.0,1,1,0,44150.06,1
21,11268101,Customer,702,Germany,Male,36,6,181903.74,2,0,1,31404.69,0
22,13971888,Customer,793,France,Male,31,7,0.0,1,0,0,164407.46,1
23,13214550,Customer,814,France,Female,20,9,229279.38,2,1,1,155679.05,0
24,15116338,Customer,611,France,Male,72,5,33834.95,2,0,0,179943.04,1
25,19983998,Customer,618,France,Female,73,4,93540.68,1,0,1,23423.52,0
26,14974071,Customer,370,Spain,Male,58,3,113027.08,1,1,1,130707.72,0
27,10287340,Customer,828,France,Female,40,0,0.0,1,0,1,146888.93,0
28,10855388,Customer,663,Germany,Female,57,8,86868.55,1,0,0,88385.47,1
29,11950528,Customer,469,Germany,Female,28,10,25470.17,3,1,1,110970.33,0
30,11593092,Customer,818,France,Female,64,9,0.0,1,0,1,104345.72,0
31,18059504,Customer,830,Germany,Male,23,3,11707.03,1,1,0,92639.19,1
32,11663968,Customer,761,France,Female,51,1,4284.14,1,0,0,65217.12,0
33,11603364,Customer,469,France,Female,18,3,0.0,1,0,1,197911.56,0
34,13439924,Customer,547,Spain,Female,52,10,195212.08,1,1,1,177840.47,0
35,13770373,Customer,485,Spain,Female,42,4,123907.5,1,1,0,159449.09,1
36,12211750,Customer,426,Spain,Male,46,1,79468.15,1,1,1,169954.67,0
37,17697610,Customer,703,France,Female,40,6,59113.28,1,0,0,169094.95,0
38,15206205,Customer,407,France,Male,35,2,0.0,1,0,1,24208.07,0
39,18694568,Customer,773,Germany,Female,31,7,0.0,2,1,0,119203.98,0
40,14907529,Customer,435,France,Male,34,3,122772.28,2,0,1,99433.87,1
41,18745552,Customer,350,France,Female,19,10,113990.19,1,1,1,47760.59,1
42,13020892,Customer,426,France,Male,48,4,0.0,1,1,1,59630.27,0
43,16536218,Customer,798,France,Male,36,2,0.0,2,1,1,36847.21,0
44,18957090,Customer,359,Spain,Female,49,10,0.0,1,0,0,99925.5,0
45,14174096,Customer,793,France,Female,71,4,100391.83,1,1,0,58702.38,0
46,19457158,Customer,418,Germany,Female,45,8,60237.47,1,0,1,50381.38,0
47,18065724,Customer,497,France,Male,58,10,170398.53,1,0,1,114255.51,0
48,11902777,Customer,411,Germany,Male,25,1,0.0,1,0,0,50403.23,0
49,17815626,Customer,362,Germany,Female,59,6,0.0,2,1,0,122026.88,1
50,14257843,Customer,535,France,Female,58,9,249636.41,1,0,1,39552.47,0
51,13800857,Customer,514,Spain,Female,57,7,222167.18,1,0,1,144068.37,0
52,16840618,Customer,359,Spain,Male,56,2,174284.78,2,0,1,67608.17,0
53,16836020,Customer,608,Spain,Female,39,10,0.0,1,1,0,155045.41,0
54,14094576,Customer,511,Spain,Male,41,3,0.0,1,0,1,161338.7,0
55,11484010,Customer,639,Germany,Male,55,10,31653.95,1,1,1,197300.7,0
56,18750156,Customer,763,Spain,Male,19,9,83487.88,2,1,1,13142.0,0
57,12444004,Customer,770,France,Male,58,1,0.0,1,1,0,163880.76,0
58,18579182,Customer,545,France,Female,58,9,152579.58,1,0,1,101559.04,1
59,18625285,Customer,383,France,Male,36,8,214373.94,1,1,0,33318.58,0
60,17451428,Customer,509,France,Male,58,2,202387.83,2,0,0,153963.24,1
61,18032504,Customer,434,France,Male,19,8,214020.32,1,0,1,22503.73,0
62,14862506,Customer,407,France,Male,45,6,43649.93,2,1,1,174859.33,0
63,18241196,Customer,710,Spain,Female,49,5,162521.15,1,0,0,130151.78,0
64,16311394,Customer,757,France,Male,36,10,239185.51,1,0,1,45849.74,1
65,10731359,Customer,614,France,Male,33,10,0.0,1,1,1,139368.5,0
66,12564739,Customer,646,Germany,Female,47,2,847.59,2,0,1,41786.77,0
67,13561440,Customer,757,France,Female,39,10,220576.65,2,0,0,117428.9,0
68,14110904,Customer,374,Spain,Female,31,6,176444.96,2,1,0,10946.0,1
69,13602717,Customer,385,France,Male,69,10,30515.51,2,0,1,188075.07,0
70,13925198,Customer,613,Spain,Female,73,2,78455.65,1,0,0,22156.18,1
71,16381145,Customer,731,Spain,Female,18,10,29378.7,3,1,0,152465.39,0
72,13072422,Customer,463,France,Female,62,5,0.0,1,1,1,143952.62,1
73,15012807,Customer,454,France,Female,71,7,880.97,1,1,0,133797.43,1
74,11042192,Customer,442,Spain,Male,19,4,116130.55,1,1,1,17430.83,0
75,19654877,Customer,438,Germany,Female,39,10,249952.24,3,0,0,134547.14,1
76,18262268,Customer,792,Germany,Male,63,10,212782.63,1,0,1,126434.95,1
77,11867362,Customer,512,Spain,Male,50,2,146805.43,2,0,0,130200.35,0
78,16891275,Customer,387,France,Male,32,5,173483.54,1,1,1,112274.73,0
79,16792453,Customer,441,France,Male,67,7,150909.7,2,1,0,72785.62,1
80,17033741,Customer,468,France,Female,58,9,202711.49,1,0,0,54489.97,1
81,14923141,Customer,560,Spain,Female,39,2,0.0,2,1,1,96700.21,0
82,15479534,Customer,509,Germany,Female,57,10,191648.1,1,1,0,83133.48,0
83,19996715,Customer,450,France,Female,56,10,0.0,1,1,0,140666.6,0
84,19681832,Customer,718,France,Male,58,4,0.0,1,0,1,61427.23,0
85,19523550,Customer,528,France,Male,58,8,0.0,1,0,1,160423.2,1
86,15847152,Customer,633,France,Female,28,9,205794.4,1,1,1,196174.7,1
87,12518112,Customer,789,Germany,Female,21,9,157200.68,1,0,1,142724.64,0
88,13985363,Customer,704,Germany,Male,24,2,178536.31,1,1,0,107341.0,1
89,18792068,Customer,741,Spain,Female,38,10,43624.64,1,1,0,42553.3,0
90,19555711,Customer,646,France,Male,24,1,0.0,3,0,0,196605.11,0
91,14018576,Customer,723,France,Male,21,10,133659.07,2,1,1,61814.12,1
92,18938784,Customer,372,Germany,Male,29,7,0.0,1,0,1,117991.54,0
93,19835077,Customer,787,Spain,Male,44,6,199803.9,1,1,0,94075.51,1
94,10787761,Customer,837,Germany,Female,34,8,0.0,2,1,0,47870.65,0
95,16779199,Customer,843,Spain,Female,37,3,88101.64,1,0,0,158355.34,0
96,11349349,Customer,628,France,Male,48,2,54224.57,1,1,1,32392.13,1
97,14889603,Customer,381,Germany,Female,43,9,38064.77,2,1,1,91666.89,0
98,12196344,Customer,487,France,Female,48,4,0.0,1,1,1,50160.15,0
99,12342653,Customer,430,France,Male,52,10,241425.76,2,0,1,114420.66,1
100,13359421,Customer,768,France,Male,26,0,226658.39,2,1,1,173552.4,0
101,11399610,Customer,704,France,Female,22,4,120811.07,2,0,1,179251.27,0
102,14232340,Customer,668,Germany,Female,69,2,0.0,2,1,0,110794.86,0
103,13087685,Customer,544,France,Female,65,0,209655.69,1,0,1,55908.78,0
104,12198412,Customer,641,Germany,Male,25,2,0.0,2,1,0,82858.71,0
105,19329287,Customer,442,Spain,Female,38,4,0.0,2,1,1,140864.82,0
106,17886304,Customer,782,France,Male,33,4,0.0,1,1,1,64686.42,0
107,12094702,Customer,395,France,Male,68,9,0.0,2,0,0,39156.89,1
108,14354989,Customer,376,Spain,Male,33,7,243698.22,2,1,1,62872.68,0
109,12305469,Customer,764,France,Male,35,10,0.0,1,1,1,33087.21,1
110,19504790,Customer,511,France,Male,64,0,158371.31,1,0,0,62564.54,1
111,19703315,Customer,681,France,Male,73,6,0.0,2,1,1,18266.93,1
112,11807133,Customer,450,France,Male,45,4,246934.3,1,1,1,21852.58,0
113,12608877,Customer,536,Spain,Female,35,2,17693.88,2,0,0,173103.46,0
114,18315795,Customer,787,Spain,Male,31,3,246409.09,2,0,1,43867.6,0
115,13413249,Customer,822,Germany,Male,73,2,227641.4,1,1,0,170319.99,1
116,17461985,Customer,543,Spain,Male,65,7,0.0,2,1,0,199216.59,0
117,19723662,Customer,507,Spain,Male,54,3,0.0,2,1,1,84190.92,0
118,16426048,Customer,841,France,Female,57,2,152214.52,1,1,1,95079.17,0
119,13449838,Customer,806,Spain,Male,33,1,249155.0,1,1,0,64334.58,0
120,14689092,Customer,756,Germany,Female,38,2,0.0,1,1,0,32646.95,0
121,13539809,Customer,358,Spain,Male,18,6,202958.27,2,0,0,131009.12,0
122,16155367,Customer,561,Spain,Male,28,5,21715.37,2,1,0,171126.06,1
123,15219626,Customer,788,France,Female,28,9,93041.65,1,1,1,137183.86,0
124,16167435,Customer,734,France,Female,19,4,216481.95,2,0,1,30775.01,0
125,10118251,Customer,661,France,Male,49,7,175630.08,1,0,1,125270.45,1
126,14292189,Customer,516,France,Female,71,10,0.0,2,1,0,131463.48,1
127,10632085,Customer,692,Spain,Male,36,0,87062.14,2,0,1,141052.37,0
128,18622811,Customer,623,Spain,Female,73,2,4856.38,2,0,1,23200.27,0
129,15588317,Customer,647,France,Female,22,1,223200.82,2,0,1,142640.81,0
130,10081265,Customer,829,Germany,Female,20,1,0.0,1,0,1,124882.79,0
131,12538382,Customer,460,France,Female,45,10,108965.22,1,0,1,174942.41,0
132,13977842,Customer,678,France,Male,43,0,0.0,1,0,1,41378.26,0
133,13347781,Customer,552,France,Female,40,4,233355.55,1,0,0,21805.83,1
134,18419113,Customer,597,France,Male,47,4,69972.92,2,0,0,164446.99,0
